ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE,ENGINE_ID
C700,CESSNA 700 LONGITUDE,HTF7700L,2,C700,,J,01P18HN013
C750,CESSNA 750,AE3007C-1,2,C750,,J,6AL023
C97,KC97L,R-4360,4,C30J,,T,Prop>500hp
CAT,PBY 5A CATALINA,R-1830-92S,2,S2P,,P,Prop>500hp
CL2P,CL215 1A10,R2800-CA3,2,S2P,,P,Prop>500hp
CL2T,CL215 6B11 CL415,PW123AF,2,F27,,T,PW123
CL30,BD100 1A10 CHALLENGER 350,HTF7350,2,CL30,,J,01P14HN011
CL60,CL605,CF34-3B,2,CL60,,J,01P05GE189
CN35,CN235MP,CT7-9C,2,DH8A,,T,CT7-9B
CONI,LOCKHEED C 121,WRIGHT R-3350,4,C160,,T,Prop>500hp
CRJ1,CL600 2B19 RJ100LR,CF34-3A1,2,CRJ1,,J,1GE035
CRJ2,CL600 2B19 CHALLENGER 850,CF34-3B1,2,CRJ2,,J,01P05GE189
CRJ7,CL600 2C10 RJ700,CF34-8C1,2,CRJ9,,J,5GE083
CRJ9,CL600 2D24 RJ900NG,CF34-8C5,2,CRJ9,,J,01P08GE190
CRJX,CL600 2E25 RJ1000,CF34-8C5A2,2,CRJX,,J,01P08GE193
CVLT,CV580,501-D13,2,ATP,,T,501 D13 alternative 2
D228,DO228 212NG,TPE331-5A-252D,2,D228,,T,TPE331-5A
D328,DO328 110,PW119B,2,D328,,T,PW119B
DA42,DA42 TWIN STAR,CENTURION 1.7,2,DA42,,P,Centurion 4.0
DA62,DA62,AE300,2,DA62,,P,AE300
DC10,KC 10A,CF6-50C1,3,DC10,,J,3GE073
DC3,DC3 C 47B 45 DK,R-1830,2,S2P,,P,Prop>500hp
DC3T,DC 3TP,PT6A-65AR,2,SH36,,T,PT6A-65AR
DC6,DC6B,R-2800,4,C160,,T,Prop>500hp
DC85,DC8F 54,JT3D-3B/Q,4,B703,,J,1PW001
DC86,DC8 62F,JT3D-7/Q,4,DC87,,J,1PW002
DC87,DC8 72CF,CFM56-1B,4,DC87,,J,1CM002
DC91,DC9 15F,JT8D-7,2,BA11,,J,8PW085
DC92,DC9 21,JT8D-11,2,A158,,J,1PW008
DC93,C 9B DC 9,JT8D-9,2,DC93,,J,1PW006
DC95,DC9 51,JT8D-17,2,B712,,J,1PW012
DH2T,DHC2 TURBO,PT6A-20,1,K100,,T,PT6A-20
DH3T,DHC3 TURBO,ASH-621-M18,1,P750,,T,BIZLIGHTPROP_F
DH8A,DHC8 103B,PW121,2,DH8A,,T,PW121
DH8B,DHC8 202Q,PW123C,2,DH8C,,T,PW123C
DH8C,DHC8 311Q,PW123,2,DH8C,,T,PW123
DH8D,DHC8 402Q,PW150A,2,DH8D,,T,PW150A
DHC2,DHC2,R-985,1,C188,,P,Prop-500hp
DHC4,DHC4A,R-2000-D5,2,S2P,,P,Prop>500hp
DHC5,DHC5D,CT64-820-4,2,AN30,,T,BIZHEAVYPROP_F
DHC6,DHC6 400,PT6A-27,2,DHC6,,T,PT6A-27
DHC7,DHC7 102,PT6A-50,4,AN30,,T,PT6A-50
DO28,DO28D 2,IGSO-540-A1E,2,DA62,,P,IO-540-T4A5D
DOVE,DH104 DOVE 8,GIPSY QUEEN 70-4,2,DA62,,P,Prop>500hp
E110,EMB110P2,PT6A-34,2,D228,,T,PT6A-34
E120,EMB120RT,PW118,2,E120,,T,PW118
E121,EMB121AN,PT6A-135,2,MU2,,T,PT6A-135A
E135,EMB135LR,AE3007A3,2,E135,EMB-135LR,J,01P06AL034
E145,EMB145EP,AE3007A1,2,E145,EMB-145ER,J,01P06AL028
E170,EMB170 100LR,CF34-8E5,2,E170,EMB-170AR,J,01P08GE197
E190,EMB190 100LR,CF34-10E,2,E190,EMB-190LR,J,11GE144
E195,EMB190 200LR,CF34-10E5A1,2,E195,EMB-195LR,J,11GE144
E290,EMB190 300STD,PW1919G,2,E290,,J,04P20PW200
E295,EMB190 400STD,PW1919G,2,B736,,J,04P20PW200
E35L,LEGACY 650,AE3007A3,2,E35L,EMB-135BJ-Legacy600,J,01P06AL034
E3CF,B707 E3A,UNKNOWN,4,DC87,,J,1CM001
E400,EA400,TSIOL-550-C Voyager,1,PA46,,P,IO-550-B
E500,EA500,250-B17F/2,1,E500,,T,BIZLIGHTPROP_F
E50P,PHENOM 100,PW617F,2,E50P,EMB-500,J,PW610F
E545,LEGACY 450,HTF7500E,2,E545,,J,01P14HN016
E550,PRAETOR 600,HTF7500E,2,E550,,J,01P14HN016
E55P,PHENOM 300,PW535,2,E55P,EMB-505,J,PW530
E6,B707 E6A,UNKNOWN,4,DC87,,J,1PW001
E737,B737 7ES,CFM56-7B26,2,B737,,J,8CM051
E75L,EMB170 200LR SW,CF34-8E5,2,E75L,EMB-175LR,J,01P08GE197
E75S,EMB170 200STD,CF34-8E5,2,E75S,EMB-175STD,J,01P08GE197
EA50,ECLIPSE 500,PW610F,2,EA50,,J,PW610F
EGRT,520T,TPE331-14F-801L,1,Q9,,T,TPE331-14B
EPIC,EPIC LT,PT6A-67A,1,TBM8,,T,PT6A-67A
F100,FOKKER 100,TAY 650-15,2,F100,F100-650,J,3RR031
F27,F27 600,DART 532-7,2,F27,,T,RDa.7
F28,F28 1000,SPEY 555-15,2,F28,,J,4RR035
F2TH,FALCON 2000LX,PW308C,2,F2TH,,J,01P07PW146
F406,CESSNA F406 II,PT6A-112,2,F406,,T,PT6A-112
F50,FOKKER 50,PW125B,2,F50,,T,PW125B
F60,FOKKER 60 0604MPA,PW127B,2,F50,,T,PW127B
F70,FOKKER 70,TAY 620-15,2,F70,F70-620,J,1RR020
F900,FALCON 900EX,TFE731-60-1C,3,F900,,J,1AS002
FA10,FALCON 100,TFE731-2-1C,2,FA10,,J,1AS001
FA20,FALCON 20DC,CF700-2D2,2,FA20,,J,CF700-2D
FA50,FALCON 50,TFE731-3-1C,3,FA50,,J,1AS002
FA5X,FALCON 5X,SILVERCREST,2,GLF2,,J,01P22PW141
FA6X,FALCON 6X,PW814GA,2,GLF5,,J,01P22PW141
FA7X,FALCON 7X,PW307A,3,FA7X,,J,03P16PW192
FA8X,FALCON 8X,PW307D,3,FA7X,,J,03P15PW193
G150,G150,TFE731-40R-200G,2,G150,,J,1AS002
G159,G159 GULFSTREAM I,DART 529-8X,2,AT43,,T,RDa.7
G21,G21,R-985,2,DA62,,P,Prop-500hp
G222,G222 C 27J,UNKNOWN,2,F27,,T,PT6A-65B
G280,G280,HTF7250G,2,G280,,J,01P11HN012
G73T,G73 TURBO,PT6A-34,2,DHC6,,T,PT6A-34
GA5C,G500,PW814GA,2,GLF5,,J,01P22PW141
GA6C,G600,PW815GA,2,GLF5,,J,01P22PW142
GA7,GA7,O-320-D1D,2,PA44,,P,O-320-E2A
GA7C,G700,Pearl,2,GLEX,,J,01P22PW141
GA8,GA 8,IO-540-K1A5,1,DA50,,P,IO-540-T4A5D
GALX,G200,PW306A-5,2,HA4T,,J,7PW077
GL5T,BD700 1A11 GLOBAL 5000,BR710A2-20,2,GL5T,,J,01P04BR013
GL7T,BD700 2A12 GLOBAL 7500,GE PASSPORT,2,GLEX,,J,01P11BR016
GLEX,BD700 1A10 GLOBAL EXPRESS 6000,BR710A2-20,2,GLEX,,J,01P04BR013
GLF2,G1159 SP,SPEY 511-8,2,GLF2,,J,SPEY MK511-8
