ENGINE_ID,ICAO,ACFT_SERIES,ENG_TYPE,NB_ENG,BADA3,BADA4,BADA_TYPE
1ZM001,A225,AN225,D-18T,6,A124,,J
1ZM001,AN72,AN74,D-36,2,F28,,J
1ZM001,YK42,YAK 42D,D-36,3,YK42,,J
2CM012,A321,A321 111,CFM56-5B1,2,A321,A321-111,J
2CM013,A321,A321 112,CFM56-5B2,2,A321,A321-111,J
2CM014,A320,A320 214,CFM56,2,A320,A320-214,J
2CM015,A343,A340 313,CFM56-5C4,4,A343,A340-313,J
2CM018,A320,A320 214,CFM56-5B4/2,2,A320,A320-214,J
2GE036,A306,A300B4 601,CF6-80C2A1,2,A306,A300B4-601,J
2GE037,A310,A310 304,CF6-80C2A2,2,A310,A310-308,J
2GE038,A306,A300B4 603,CF6-80C2A3,2,A306,A300B4-601,J
2GE039,A306,A300B4 605R,CF6-80C2A5,2,A306,A300B4-601,J
2GE040,A310,A310 308 F,CF6-80C2A8,2,A310,A310-308,J
2GE040,A3ST,A300B4 608ST,CF6-80C2A8,2,A3ST,A300B4-608ST,J
2GE041,B743,B747 3D7,CF6-80C2B1,4,B743,B743PW,J
2GE041,B74R,VC25A B747,CF6-80C2B1,4,B742,,J
2GE042,B762,B767 201 ER,CF6-80C2B2,2,B762,B762ERPW56,J
2GE043,B762,B767 23B ER,CF6-80C2B4,2,B762,B762ERPW56,J
2GE043,B763,B767 3P6 ER BDSF WL,CF6-80C2B4,2,B763,B763ERGE61,J
2GE044,B763,B767 323 ER WL BDSF,CF6-80C2B6,2,B763,B763ERGE61,J
2GE046,B762,B767 25E BDSF,CF6-80C2B2F,2,B762,B762GE50,J
2GE046,B763,B767 38E ER,CF6-80C2B2F,2,B763,B763ERGE61,J
2GE047,B762,B767 224 ER,CF6-80C2B4F,2,B762,B762ERPW56,J
2GE047,B763,B767 34P ER,CF6-80C2B4F,2,B763,B763ERGE61,J
2GE049,MD11,MD11 F,CF6-80C2D1F,3,MD11,,J
2GE051,A332,A330 202,CF6-80E1A2,2,A332,A330-203,J
2GE051,A333,A330 302,CF6-80E1A2,2,A333,A330-301,J
2GE054,B762,B767 24N ER,CF6-80C2B7F,2,B762,B762ERPW56,J
2GE054,B763,B767 34AF ER WL,CF6-80C2B7F,2,B763,B763ERGE61,J
2GE054,B764,B767 432 ER,CF6-80C2B7F,2,B764,B764ER,J
2PW061,B772,B777 2AN ER,PW4077,2,B772,B772RR92,J
2RR025,B772,B777 2D7 ER,TRENT 871,2,B772,B772RR92,J
2RR027,B772,B777 223 ER,TRENT 892-17,2,B772,B772RR92,J
2RR027,B773,B777 312,TRENT 892,2,B773,B773RR92,J
3CM020,A321,A321 212,CFM56-5B1/2P,2,A321,A321-111,J
3CM021,A320,A320 214,CFM56-5B4/2P,2,A320,A320-214,J
3CM022,A319,A319 112,CFM56-5B6/2P,2,A319,A319-114,J
3CM025,A321,A321 211,CFM56-5B3/P,2,A321,A321-111,J
3CM026,A320,A320 214,CFM56-5B4/P,2,A320,A320-214,J
3CM026,A321,A321 211 SL,CFM56-5B4/P,2,A321,A321-111,J
3CM027,A319,A319 111,CFM56-5B5/P,2,A319,A319-114,J
3CM028,A319,A319 112,CFM56-5B6/P,2,A319,A319-114,J
3CM028,A320,A320 216,CFM56-5B6/P,2,A320,A320-214,J
3CM030,B736,B737 683,CFM56-7B20,2,B736,B73622,J
3CM030,B737,B737 76N,CFM56-7B20,2,B737,B737W24,J
